"","p25","sex","age1","y1v12","y1v19","y1v38","y1v55","y1v102","y1v117","y1v152","y1v168","y1v169","y1v170","y1v171","y1v179","y1v180","y1v190","y1v198","y1v210","usrNMNAR","HotDeckUSRMNAR","usroriginalnonemissing","HotDeckUSRMAR","usr1MAR","nysid","Urban","Suburban","Rural","LgMarijFreq","DmgSchlPropPrev","MotorTheftPrev","TheftOver50Prev","CarriedWeaponPrev","AttackPrev","CheatingPrev","LoudUnrulyPrev","SoldHardDrgsPrev","AvoidPayingPrev","Stolen5to50Prev","SkipPrev","VarietyScore","ObscenePhonePrev","VarietyScore2","LnVarietyScore2","ethn3","UrbanMAR","SuburbanMAR","RuralMAR","HDUrban","HDSuburban","HDRural","MissingUSRDummy","UrbanMNAR","RuralMNAR","HDUrbanMNAR","HDSuburbanMNAR","HDRuralMNAR"
"1385",1,2,14,5,4,2,5,2,2,5,5,3,4,4,4,4,3,4,1,2,2,2,2,2,318502,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1.098612289,1,0,1,0,0,1,0,0,1,0,0,1,0
"1386",1,2,14,5,3,2,5,2,3,5,5,3,4,4,4,4,1,4,1,3,3,3,3,3,638104,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,3,0,3,1.386294361,1,0,0,1,0,0,1,0,0,1,0,0,1
"1387",1,2,14,5,4,2,5,3,1,5,5,2,3,4,2,4,1,4,1,3,3,3,3,3,673702,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,3,0,0,1,0,0,1,0,0,1,0,0,1
"1389",1,2,14,5,3,2,5,3,2,5,5,3,3,5,2,4,1,4,2,1,1,1,1,1,473703,1,0,0,1.945910149,0,1,0,0,0,1,0,0,1,0,1,4,0,4,1.609437912,1,1,0,0,1,0,0,0,0,0,1,0,0
"1392",1,2,14,5,2,2,5,4,2,5,5,4,2,4,2,4,1,4,2,2,2,2,2,2,174202,0,1,0,1.098612289,1,1,0,0,0,1,1,0,1,0,1,6,0,6,1.945910149,1,0,1,0,0,1,0,0,1,0,0,1,0
"1399",1,2,15,1,5,2,3,2,2,5,5,5,4,5,2,1,3,4,1,1,1,1,1,1,483802,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,5,0,5,1.791759469,2,1,0,0,1,0,0,0,0,0,1,0,0
"1400",1,2,15,1,5,2,5,5,5,4,1,4,1,2,4,3,1,1,1,1,1,1,1,1,79702,1,0,0,5.774551546,1,1,0,0,0,1,1,0,1,0,1,6,0,6,1.945910149,2,1,0,0,1,0,0,0,0,0,1,0,0
"1402",1,2,15,2,3,2,1,2,4,4,4,2,2,4,1,4,1,4,1,2,2,2,2,2,610102,0,1,0,4.762173935,1,1,0,0,0,0,0,0,0,0,1,3,0,3,1.386294361,1,0,1,0,0,1,0,0,1,0,0,1,0
"1404",1,2,15,2,4,2,3,2,3,4,2,4,1,2,2,4,1,4,1,2,2,2,2,2,294802,0,1,0,1.098612289,0,1,0,1,0,1,0,0,0,1,0,4,0,4,1.609437912,1,0,1,0,0,1,0,0,1,0,0,1,0
"1406",1,2,15,2,2,2,5,2,2,5,5,2,5,5,4,3,1,3,2,3,3,3,3,3,628403,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,3,0,3,1.386294361,1,0,0,1,0,0,1,0,0,1,0,0,1
"1407",1,2,15,3,5,1,1,1,1,5,5,1,5,5,4,4,1,4,1,1,1,1,1,1,213502,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1.098612289,3,1,0,0,1,0,0,0,0,0,1,0,0
"1409",1,2,15,3,5,2,1,1,1,5,5,1,5,5,4,4,2,4,1,3,3,3,3,3,675003,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1.098612289,1,0,0,1,0,0,1,0,0,1,0,0,1
"1410",1,2,15,3,5,2,1,2,1,5,5,3,5,5,1,2,2,4,1,3,3,3,3,3,666702,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,3,0,3,1.386294361,1,0,0,1,0,0,1,0,0,1,0,0,1
"1411",1,2,15,3,5,2,1,2,2,5,5,1,5,5,4,3,2,4,1,2,2,2,2,2,233002,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.693147181,1,0,1,0,0,1,0,0,1,0,0,1,0
